,Column1,Column2,Column3,Column4
2023-11-12 06:00:00,16.223303,14.1715975,13.26086,21.818552
2023-11-12 12:00:00,16.591309,14.194983,12.980776,21.511118
2023-11-12 18:00:00,16.488167,13.673531,12.830762,21.234892
2023-11-13 00:00:00,16.096157,13.303422,13.035171,21.341644
2023-11-13 06:00:00,15.861863,13.429394,13.243294,21.5699
2023-11-13 12:00:00,15.794173,13.719733,13.391141,21.72163
2023-11-13 18:00:00,15.850217,14.006111,13.3810625,21.717583
2023-11-14 00:00:00,16.111486,14.2380295,13.156325,21.421175
2023-11-14 06:00:00,16.231886,13.87349,12.913049,21.01511
2023-11-14 12:00:00,15.999236,13.39011,13.155265,21.21942
2023-11-14 18:00:00,15.83081,13.526213,13.373532,21.538517
2023-11-15 00:00:00,15.771773,13.837171,13.5304575,21.76172
2023-11-15 06:00:00,15.823228,14.150763,13.609778,21.849033
2023-11-15 12:00:00,16.0632,14.489826,13.609706,21.706463
2023-11-15 18:00:00,16.386564,14.375611,13.477967,21.204119
2023-11-16 00:00:00,16.176449,13.677853,13.490646,21.203115
2023-11-16 06:00:00,15.964413,13.667379,13.606459,21.489857
2023-11-16 12:00:00,15.846904,13.979811,13.737542,21.774078
2023-11-16 18:00:00,15.919789,14.279131,13.830401,21.935259
2023-11-17 00:00:00,16.230194,14.567742,13.880014,21.927145
2023-11-17 06:00:00,16.608494,14.529339,13.862957,21.55768
2023-11-17 12:00:00,16.52627,13.953796,13.756816,21.323965
2023-11-17 18:00:00,16.269293,13.775372,13.795922,21.471151
2023-11-18 00:00:00,16.061123,14.059847,13.887763,21.731857
2023-11-18 06:00:00,16.093025,14.328902,13.94683,21.966425
2023-11-18 12:00:00,16.3796,14.57944,13.97111,22.016132
2023-11-18 18:00:00,16.743433,14.588635,13.983205,21.74607
2023-11-19 00:00:00,16.8031,14.1769285,13.849776,21.42071
2023-11-19 06:00:00,16.606112,13.873651,13.832254,21.440592
2023-11-19 12:00:00,16.333532,14.039587,13.907305,21.654448
2023-11-19 18:00:00,16.258745,14.320105,13.966518,21.915302
2023-11-20 00:00:00,16.45972,14.553129,13.973375,22.022345
2023-11-20 06:00:00,16.825855,14.618868,13.968335,21.843393
2023-11-20 12:00:00,16.97974,14.30105,13.837476,21.480438
2023-11-20 18:00:00,16.849842,13.95935,13.762182,21.402784
2023-11-21 00:00:00,16.584862,13.967409,13.813064,21.56375
2023-11-21 06:00:00,16.400055,14.227914,13.873518,21.84147
2023-11-21 12:00:00,16.479912,14.448045,13.881647,21.975752
2023-11-21 18:00:00,16.803457,14.571062,13.854671,21.884325
2023-11-22 00:00:00,17.02918,14.36674,13.710759,21.499384
2023-11-22 06:00:00,16.938667,13.955412,13.604696,21.355394
2023-11-22 12:00:00,16.67601,13.801388,13.639871,21.484188
2023-11-22 18:00:00,16.460823,13.995033,13.693072,21.760296
2023-11-23 00:00:00,16.42817,14.230572,13.736585,21.915855
2023-11-23 06:00:00,16.657207,14.39573,13.690105,21.832014
2023-11-23 12:00:00,16.93738,14.319376,13.542658,21.503878
2023-11-23 18:00:00,16.910816,13.8794985,13.418859,21.304821
2023-11-24 00:00:00,16.640568,13.584993,13.457189,21.425266
2023-11-24 06:00:00,16.406588,13.691101,13.518689,21.678003
2023-11-24 12:00:00,16.314901,13.930644,13.570384,21.858982
2023-11-24 18:00:00,16.424072,14.139729,13.53904,21.804312
2023-11-25 00:00:00,16.72941,14.167048,13.381824,21.522566
2023-11-25 06:00:00,16.812305,13.797804,13.218254,21.267714
2023-11-25 12:00:00,16.558786,13.409051,13.293687,21.390686
2023-11-25 18:00:00,16.309563,13.463402,13.383627,21.638817
2023-11-26 00:00:00,16.163,13.658485,13.444196,21.809153
2023-11-26 06:00:00,16.18008,13.886279,13.442722,21.81389
2023-11-26 12:00:00,16.420824,14.001457,13.270698,21.563822
2023-11-26 18:00:00,16.645824,13.731885,13.043141,21.23437
2023-11-27 00:00:00,16.437267,13.281676,13.143862,21.32434
