station3,year3,month3,day3,hour3,waterlevel3,station1,year1,month1,day1,hour1,waterlevel1,station2,year2,month2,day2,hour2,waterlevel2
Montalban,2023,November,16,0,21.56,Nangka,2023,November,16,0,15.93,Sto Nino,2023,November,16,0,11.66
Montalban,2023,November,16,1,21.56,Nangka,2023,November,16,1,15.93,Sto Nino,2023,November,16,1,11.66
Montalban,2023,November,16,2,21.56,Nangka,2023,November,16,2,15.93,Sto Nino,2023,November,16,2,11.66
Montalban,2023,November,16,3,21.56,Nangka,2023,November,16,3,15.93,Sto Nino,2023,November,16,3,11.66
Montalban,2023,November,16,4,21.56,Nangka,2023,November,16,4,15.93,Sto Nino,2023,November,16,4,11.66
Montalban,2023,November,16,5,21.56,Nangka,2023,November,16,5,15.93,Sto Nino,2023,November,16,5,11.66
Montalban,2023,November,16,6,21.56,Nangka,2023,November,16,6,15.93,Sto Nino,2023,November,16,6,11.66
Montalban,2023,November,16,7,21.56,Nangka,2023,November,16,7,15.93,Sto Nino,2023,November,16,7,11.66
Montalban,2023,November,16,8,21.56,Nangka,2023,November,16,8,15.93,Sto Nino,2023,November,16,8,11.66
Montalban,2023,November,16,9,21.56,Nangka,2023,November,16,9,15.93,Sto Nino,2023,November,16,9,11.66
Montalban,2023,November,16,10,21.56,Nangka,2023,November,16,10,15.93,Sto Nino,2023,November,16,10,11.66
Montalban,2023,November,16,11,21.56,Nangka,2023,November,16,11,15.93,Sto Nino,2023,November,16,11,11.66
Montalban,2023,November,16,12,21.56,Nangka,2023,November,16,12,15.93,Sto Nino,2023,November,16,12,11.66
Montalban,2023,November,16,13,21.56,Nangka,2023,November,16,13,15.93,Sto Nino,2023,November,16,13,11.66
Montalban,2023,November,16,14,21.56,Nangka,2023,November,16,14,15.93,Sto Nino,2023,November,16,14,11.66
