Station1,Year,Month,Day,Hour,Waterlevel1,Station2,Year,Month,Day,Hour,Waterlevel2,Station3,Year,Month,Day,Hour,Waterlevel3,RF-Station1,RF-Intensity1,RF-Station2,RF-Intensity2,Humidity,Precipitation,Temperature
,,,,,,,,,,,,,,,,,,,,,,18.129888412775212,0,27.5
,,,,,,,,,,,,,,,,,,,,,,18.46448538213696,1,27.1
,,,,,,,,,,,,,,,,,,,,,,18.483101459553737,2,26.7
,,,,,,,,,,,,,,,,,,,,,,18.595961234628195,0,26.6
,,,,,,,,,,,,,,,,,,,,,,18.483101459553737,0,26.5
,,,,,,,,,,,,,,,,,,,,,,18.483101459553737,0,26.5
,,,,,,,,,,,,,,,,,,,,,,18.352348727818782,0,27.2
,,,,,,,,,,,,,,,,,,,,,,18.445906767008506,0,27.8
,,,,,,,,,,,,,,,,,,,,,,18.671777465023812,0,28.4
,,,,,,,,,,,,,,,,,,,,,,18.539881154020545,0,29
,,,,,,,,,,,,,,,,,,,,,,18.55853689386707,0,29.5
,,,,,,,,,,,,,,,,,,,,,,18.55853689386707,0,30
,,,,,,,,,,,,,,,,,,,,,,18.57723021617604,0,30.2
,,,,,,,,,,,,,,,,,,,,,,18.690586131715897,0.5,30.3
,,,,,,,,,,,,,,,,,,,,,,18.595961234628195,1,30.5
,,,,,,,,,,,,,,,,,,,,,,18.37085049952466,1,30
,,,,,,,,,,,,,,,,,,,,,,18.14816346627618,0,29.6
,,,,,,,,,,,,,,,,,,,,,,18.129888412775212,0,29.3
