,date_time,humidity,precipitation,temperature
0,2023-11-14:16,18.129888412775212,0.0,27.5
1,2023-11-14:17,18.46448538213696,1.0,27.1
2,2023-11-14:18,18.483101459553737,2.0,26.7
3,2023-11-14:19,18.595961234628195,0.0,26.6
4,2023-11-14:20,18.483101459553737,0.0,26.5
5,2023-11-14:21,18.483101459553737,0.0,26.5
6,2023-11-14:22,18.352348727818782,0.0,27.2
7,2023-11-14:23,18.445906767008506,0.0,27.8
8,2023-11-15:00,18.671777465023812,0.0,28.4
9,2023-11-15:01,18.539881154020545,0.0,29.0
10,2023-11-15:02,18.55853689386707,0.0,29.5
11,2023-11-15:03,18.55853689386707,0.0,30.0
12,2023-11-15:04,18.57723021617604,0.0,30.2
13,2023-11-15:05,18.690586131715897,0.5,30.3
14,2023-11-15:06,18.595961234628195,1.0,30.5
15,2023-11-15:07,18.37085049952466,1.0,30.0
16,2023-11-15:08,18.14816346627618,0.0,29.6
17,2023-11-15:09,18.129888412775212,0.0,29.3
